seed,llm_selector,slm_model,strategy,category,mean_accuracy,n_questions
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.556,500
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.516,500
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,general,0.51,500
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.552,500
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.526,500
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,general,0.57,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-1.7B-Instruct,llm_assisted,general,0.728,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-1.7B-Instruct,random,general,0.732,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.502,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.476,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,general,0.52,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.55,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.514,500
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,general,0.54,500
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.55,500
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.474,500
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.602,500
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.514,500
42,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.504,500
42,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.476,500
42,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,general,0.52,500
42,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.534,500
42,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.514,500
42,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,general,0.54,500
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.568,500
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.448,500
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.602,500
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.496,500
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.632,500
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.496,500
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,general,0.49,500
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.606,500
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.536,500
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,general,0.54,500
789,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,general,0.574,500
789,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,random,general,0.496,500
789,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,general,0.49,500
789,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,general,0.572,500
789,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,random,general,0.536,500
789,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,general,0.54,500
