seed,llm_selector,slm_model,strategy,mean_accuracy,std,ci_lower,ci_upper,n_runs
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,0.51,0.0,0.51,0.51,5
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.516,0.0321,0.4762,0.5558,5
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.556,0.0114,0.5418,0.5702,5
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,0.57,0.0,0.57,0.57,5
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.526,0.0207,0.5003,0.5517,5
123,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.552,0.0217,0.5251,0.5789,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-1.7B-Instruct,random,0.732,0.0179,0.7098,0.7542,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-1.7B-Instruct,llm_assisted,0.728,0.0084,0.7176,0.7384,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,0.52,0.0,0.52,0.52,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.476,0.0378,0.429,0.523,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.502,0.0148,0.4836,0.5204,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,0.54,0.0,0.54,0.54,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.514,0.0344,0.4713,0.5567,5
42,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.55,0.0122,0.5348,0.5652,5
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.474,0.0385,0.4262,0.5218,5
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.55,0.03,0.5128,0.5872,5
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.514,0.0344,0.4713,0.5567,5
42,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.602,0.0383,0.5544,0.6496,5
42,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,0.52,0.0,0.52,0.52,5
42,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.476,0.0378,0.429,0.523,5
42,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.504,0.0241,0.4741,0.5339,5
42,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,0.54,0.0,0.54,0.54,5
42,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.514,0.0344,0.4713,0.5567,5
42,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.534,0.0297,0.4972,0.5708,5
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.448,0.0402,0.398,0.498,5
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.568,0.0259,0.5359,0.6001,5
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.496,0.027,0.4625,0.5295,5
456,claude-haiku-4-5,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.602,0.0319,0.5623,0.6417,5
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,0.49,0.0,0.49,0.49,5
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.496,0.0167,0.4752,0.5168,5
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.632,0.0335,0.5904,0.6736,5
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,0.54,0.0,0.54,0.54,5
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.536,0.0321,0.4962,0.5758,5
789,gpt-4o-mini,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.606,0.0152,0.5872,0.6248,5
789,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,zero_shot,0.49,0.0,0.49,0.49,5
789,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,random,0.496,0.0167,0.4752,0.5168,5
789,gpt-4o,HuggingFaceTB/SmolLM2-135M-Instruct,llm_assisted,0.574,0.0114,0.5598,0.5882,5
789,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,zero_shot,0.54,0.0,0.54,0.54,5
789,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,random,0.536,0.0321,0.4962,0.5758,5
789,gpt-4o,HuggingFaceTB/SmolLM2-360M-Instruct,llm_assisted,0.572,0.0164,0.5516,0.5924,5
